Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_[0],Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,id
"2023/06/11 10:54:33 PM GMT+5:30",35,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",No,"Few times a month",categories,"Multiple pages",3,No,Sometimes,"Changed my mind or no longer need the item",Often,No,Rarely,Sometimes,2,Sometimes,2,3,"Wide product selection","Customer service responsiveness",492
"2023/06/11 10:59:30 PM GMT+5:30",36,Female,"Once a month","Groceries and Gourmet Food",Sometimes,"Few times a month",categories,"First page",3,Maybe,Sometimes,"Found a better price elsewhere",Sometimes,No,Occasionally,No,3,Sometimes,3,3,"Competitive prices","Reducing packaging waste",498
"2023/06/11 11:01:04 PM GMT+5:30",40,Female,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care",Yes,"Few times a month",categories,"Multiple pages",2,Maybe,Sometimes,"Changed my mind or no longer need the item",Sometimes,Yes,Moderately,Sometimes,3,No,2,3,"Wide product selection","Shipping speed and reliability",500
"2023/06/11 11:03:34 PM GMT+5:30",27,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion",No,"Few times a month",Filter,"First page",3,Maybe,Sometimes,"Changed my mind or no longer need the item",Sometimes,No,Moderately,Sometimes,3,Sometimes,3,4,"Wide product selection","Shipping speed and reliability",504
"2023/06/09 3:19:53 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care",Sometimes,"Few times a month",categories,"Multiple pages",3,Maybe,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Occasionally,Yes,3,Sometimes,3,3,"Product recommendations","Reducing packaging waste",505
"2023/06/11 11:04:55 PM GMT+5:30",46,Female,"Few times a month","Clothing and Fashion;Home and Kitchen;others",Sometimes,"Few times a month",categories,"Multiple pages",3,No,Sometimes,"Changed my mind or no longer need the item",Sometimes,No,Occasionally,Sometimes,2,Yes,2,3,"Competitive prices","Reducing packaging waste",508
"2023/06/09 3:26:38 PM GMT+5:30",23,Female,"Once a month","Beauty and Personal Care",Sometimes,"Few times a month",categories,"Multiple pages",3,Maybe,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Moderately,Yes,3,Sometimes,3,3,"Product recommendations","Customer service responsiveness",517
"2023/06/06 7:18:52 PM GMT+5:30",18,Female,"Once a week","Groceries and Gourmet Food;Beauty and Personal Care",No,"Few times a month",categories,"First page",3,Maybe,Sometimes,"Found a better price elsewhere",Often,No,Rarely,No,4,No,4,4,"Competitive prices","Reducing packaging waste",538
"2023/06/06 7:21:26 PM GMT+5:30",19,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion",No,"Few times a month",categories,"First page",3,No,Often,"Found a better price elsewhere",Sometimes,No,Occasionally,No,2,No,3,2,"Wide product selection","Customer service responsiveness",541
"2023/06/12 3:53:28 PM GMT+5:30",23,Female,"Once a month","Clothing and Fashion",Sometimes,"Few times a month",Filter,"Multiple pages",3,Maybe,Rarely,"Changed my mind or no longer need the item",Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,3,"Competitive prices","Customer service responsiveness",546
"2023/06/12 3:56:57 PM GMT+5:30",23,Female,"Multiple times a week","Beauty and Personal Care",Sometimes,"Few times a month",categories,"Multiple pages",2,Maybe,Often,"Found a better price elsewhere",Often,Yes,Moderately,Sometimes,3,Sometimes,3,5,"Competitive prices","Customer service responsiveness",552
"2023/06/11 11:19:12 PM GMT+5:30",35,Female,"Few times a month","Beauty and Personal Care;Home and Kitchen",Sometimes,"Few times a month",categories,"First page",2,No,Often,"High shipping costs",Sometimes,Yes,Rarely,Sometimes,3,Yes,2,1,"Product recommendations","Product quality and accuracy",564
"2023/06/12 9:57:20 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion;others",Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Often,others,Sometimes,No,Heavily,Yes,2,Yes,2,2,"Wide product selection","Product quality and accuracy",568
"2023/06/11 11:21:30 PM GMT+5:30",36,Female,"Once a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion",No,"Few times a month",categories,"Multiple pages",1,No,Often,"High shipping costs",Often,Yes,Moderately,Sometimes,1,Sometimes,1,2,"Wide product selection","Product quality and accuracy",571
"2023/06/11 11:26:54 PM GMT+5:30",32,Female,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care",No,"Few times a month",categories,"First page",3,Maybe,Sometimes,"Changed my mind or no longer need the item",Sometimes,No,Occasionally,Sometimes,3,No,3,3,"Product recommendations","Customer service responsiveness",578
"2023/06/12 2:48:55 PM GMT+5:30",45,Female,"Few times a month","Beauty and Personal Care",Yes,"Few times a month",others,"Multiple pages",3,Maybe,Rarely,"Found a better price elsewhere",Often,Yes,Occasionally,Yes,3,Sometimes,3,3,"Product recommendations","Reducing packaging waste",587
"2023/06/12 2:51:24 PM GMT+5:30",25,Female,"Once a month","Beauty and Personal Care",Sometimes,"Few times a month",Keyword,"Multiple pages",3,Maybe,Sometimes,"Found a better price elsewhere",Rarely,Yes,Moderately,Sometimes,3,Sometimes,3,3,"Product recommendations","Customer service responsiveness",589
